colony	gene	allele
EPD0156_1_B01_10517	Entpd1	Entpd1<tm1a(EUCOMM)Wtsi>
EPD0144_4_G05_10518	Mapre3	Mapre3<tm1a(EUCOMM)Wtsi>
EPD0100_4_A06_10519	Elk4	Elk4<tm1a(EUCOMM)Wtsi>
HEPD0568_5_D01_10520	Zfp760	Zfp760<tm1a(EUCOMM)Hmgu>
EPD0242_4_B03_10521	Setmar	Setmar<tm1a(EUCOMM)Wtsi>
HEPD0550_6_G09_10522	Ndfip2	Ndfip2<tm1a(EUCOMM)Hmgu>
EPD0065_5_A04_10523	Jmjd5	Jmjd5<tm1a(EUCOMM)Wtsi>
EPD0369_6_A06_10524	P2rx7	P2rx7<tm1a(EUCOMM)Wtsi>
Gpt2_10525	Gpt2	Gpt2
HEPD0525_3_B05_10526	2900026A02Rik	2900026A02Rik<tm1a(EUCOMM)Hmgu>
Phex_10527	Phex	Phex<not yet available>
Hhip_10528	Hhip	Hhip<tm1Icmb>
EPD0018_2_G10_10529	Epc2	Epc2<tm1a(EUCOMM)Wtsi>
EUCE0233_A03_10530	Rab18	Rab18
EPD0127_5_F02_10531	Nup88	Nup88<tm1a(EUCOMM)Wtsi>
HEPD0543_7_B10_10532	Rbfox3	Rbfox3<tm1a(EUCOMM)Hmgu>
EPD0037_3_G01_10533	Cyb561	Cyb561<tm1a(EUCOMM)Wtsi>
EPD0140_5_D09_10534	Grin2d	Grin2d<tm1a(EUCOMM)Wtsi>
HEPD0510_3_C07_10535	Bmp7	Bmp7<tm1a(EUCOMM)Hmgu>
HEPD0554_4_C09_10536	Epb4.1l5	Epb4.1l5<tm1a(EUCOMM)Hmgu>
B6129S8-Tc(Hsa21)1TybEmcf/H_10537	MGI:3814702	Tc(Hsa21)1TybEmcf
EPD0089_4_F11_10538	Aldh2	Aldh2<tm1a(EUCOMM)Wtsi>
EPD0214_1_A08_10539	Fgf11	Fgf11<tm1a(EUCOMM)Wtsi>
PJA1_10540	Pja1	PJA1
EPD0211_4_B08_10541	Mtmr14	Mtmr14<tm1a(KOMP)Wtsi>
Dnm2_10542	Dnm2 	Dnm2
Tmem45b_10543	Tmem45b 	Tmem45b<tm1.1Hsue>
Kcnip4_10544	Kcnip4	Kcnip4<not yet available>
Usp6nl_10545	Usp6nl	Usp6nl<tm1Ppdf>
ALI14_10546	Plcg2	Plcg2<Ali14>
C1orf37_10547	Tmem183a 	Tg(TMEM183B)1Pbo
EPD0215_1_F05_10548	Fads6	Fads6<tm1a(EUCOMM)Wtsi>
EPD0057_2_C02_10549	Ttll4	Ttll4<tm1a(EUCOMM)Wtsi>
EPD0021_2_D11_10550	2310030N02Rik	2310030N02Rik<tm1a(EUCOMM)Wtsi>
MARCH9_10551	null	MGI:4452800
VMP1_10552	Tmem49	Vmp1<not yet available>
EPD0023_1_F07_10553	Slc38a10	Slc38a10<tm2a(EUCOMM)Wtsi>
EPD0037_1_E07_10554	Tnfaip1	Tnfaip1<tm1a(EUCOMM)Wtsi>
HEPD0509_8_C03_10555	Ndufa8	Ndufa8<tm1a(EUCOMM)Hmgu>
EPD0057_1_H01_10556	Fam63a	Fam63a<tm1a(EUCOMM)Wtsi>
EPD0038_2_B10_10557	Xbp1	Xbp1<tm1a(EUCOMM)Wtsi>
EPD0103_3_A11_10558	Prdx6	Prdx6<tm1a(EUCOMM)Wtsi>
EPD0058_5_D03_10559	Ttll3	Ttll3<tm1a(EUCOMM)Wtsi>
EPD0013_1_G11_10560	Sirt2	Sirt2<tm1a(EUCOMM)Wtsi>
EPD0103_2_C01_10561	Abcd1	Abcd1<tm1a(EUCOMM)Wtsi>
EPD0135_1_A05_10562	Arhgef4	Arhgef4<tm1a(KOMP)Wtsi>
EPD0102_2_E07_10563	Sgol2	Sgol2<tm1a(EUCOMM)Wtsi>
EPD0169_3_B05_10564	Nkiras2	Nkiras2<tm1a(EUCOMM)Wtsi>
EPD0383_3_E02_10565	Ripply3	Ripply3<tm1a(EUCOMM)Wtsi>
EPD0364_4_B03_10566	Ptges2	Ptges2<tm1a(EUCOMM)Wtsi>
EPD0418_1_B05_10567	Rab7l1	Rab7l1<tm1a(EUCOMM)Wtsi>
Aldh2Aldh2<tm1a(EUCOMM)Wtsi/Hmgu>_10568	Aldh2	Aldh2<tm1a(EUCOMM)Wtsi>
EPD0409_2_A01_10569	Synj2	Synj2<tm1a(EUCOMM)Wtsi>
Elk4Elk4<tm1a(EUCOMM)Wtsi/H>_10570	Elk4	Elk4<tm1a(EUCOMM)Wtsi>
HEPD0537_2_B03_10571	Pex16	Pex16<tm1a(EUCOMM)Hmgu>
HEPD0547_3_D11_10572	Mat2a	Mat2a<tm1a(EUCOMM)Hmgu>
EPD0227_3_A12_10573	Tmc8	Tmc8<tm1a(EUCOMM)Wtsi>
EPD0019_1_A05_10574	Mysm1	Mysm1<tm1a(KOMP)Wtsi>
HEPD0507_7_B05_10575	Abcb11	Abcb11<tm1a(EUCOMM)Hmgu>
HEPD0547_4_B11_10576	Hcn4	Hcn4<tm1a(EUCOMM)Hmgu>
EPD0227_3_B02_10577	Dpy19l3	Dpy19l3<tm1a(EUCOMM)Wtsi>
EPD0089_4_F11_10578	Aldh2	Aldh2<tm1a(EUCOMM)Wtsi>
EPD0242_4_B03_10579	Setmar	Setmar<tm1a(EUCOMM)Wtsi>
EUCJ004_F10_10580	Nfya	Nfya
EPD0135_1_A05_10581	Arhgef4	Arhgef4<tm1a(KOMP)Wtsi>
HEPD0535_6_B06_10582	Sytl1	Sytl1<tm1a(KOMP)Wtsi>
EPD0288_3_A08_10583	Afm	Afm<tm1a(KOMP)Wtsi>
HEPD0546_1_F01_10584	Rc3h1	Rc3h1<tm1a(EUCOMM)Hmgu>
HEPD0539_2_G05_10585	Gsta3	Gsta3<tm1a(EUCOMM)Hmgu>
HEPD0527_2_D03_10586	Pla2g4f	Pla2g4f<tm1a(EUCOMM)Hmgu>
EPD0227_1_A03_10587	Spns1	Spns1<tm1a(EUCOMM)Wtsi>
HEPD0537_5_G04_10588	Slc1a7	Slc1a7<tm1a(EUCOMM)Hmgu>
Fam63aFam63a<tm1a(EUCOMM)Wtsi/Ics>_10589	Fam63a	Fam63a<tm1a(EUCOMM)Wtsi>
Tnfaip1Tnfaip1<tm1a(EUCOMM)Wtsi/H>_10590	Tnfaip1	Tnfaip1<tm1a(EUCOMM)Wtsi>
Rere_10591	Rere	Rere
Strap_10592	Strap	Strap
HEPD0535_1_C03_10593	Patl2	Patl2<tm1a(EUCOMM)Hmgu>
EPD0023_1_F07_10594	Slc38a10	Slc38a10<tm2a(EUCOMM)Wtsi>
EPD0037_1_E07_10595	Tnfaip1	Tnfaip1<tm1a(EUCOMM)Wtsi>
HEPD0527_5_A04_10596	Heatr3	Heatr3<tm1a(EUCOMM)Hmgu> 
HEPD0527_4_D08_10597	Fkbp9	Fkbp9<tm1a(EUCOMM)Hmgu>
Net_10598	MGI:101762	Elk3 
Ttll12_10599	Ttll12	Ttll12
C.Cg-Bfc/H_10600	Ctnnb1	Ctnnb1<Bfc>
EPD0052_1_G06_10601	Orc5	Orc5<tm1a(EUCOMM)Wtsi>
EPD0069_1_A07_10602	Nipsnap1	Nipsnap1<tm1a(EUCOMM)Wtsi>
HEPD0553_3_C09_10603	D430041D05Rik	D430041D05Rik<tm1a(EUCOMM)Hmgu>
HEPD0553_2_C10_10604	Rpe65	Rpe65<tm1a(EUCOMM)Hmgu>
HEPD0555_3_A09_10605	Rprd1b	Rprd1b<tm1a(EUCOMM)Hmgu>
EPD0215_5_D11_10606	Emid1	Emid1<tm1a(EUCOMM)Wtsi>
EPD0348_1_C03_10607	Smoc1	Smoc1<tm1a(EUCOMM)Wtsi>
EPD0256_5_F08_10608	Sirt6	Sirt6<tm1a(EUCOMM)Wtsi>
HEPD0549_5_C09_10609	Wtap	Wtap<tm1a(EUCOMM)Hmgu>
HEPD0569_3_A04_10610	2310022B05Rik	2310022B05Rik<tm1a(EUCOMM)Hmgu>
EPD0370_3_G08_10611	Kcnj12	Kcnj12<tm1a(EUCOMM)Wtsi>
HEPD0531_2_C10_10612	Xylb	Xylb<tm1a(EUCOMM)Hmgu>
EPD0013_1_G11_10613	Sirt2	Sirt2<tm1a(EUCOMM)Wtsi>
HEPD0530_5_A06_10614	Abcd4	Abcd4<tm1a(EUCOMM)Hmgu>
EPD0177_5_F06_10615	Ccnyl1	Ccnyl1<tm1a(EUCOMM)Wtsi>
EPD0156_3_A04_10616	Gna11	Gna11<tm1a(EUCOMM)Wtsi>
HEPD0553_1_A01_10617	Per2	Per2<tm1a(EUCOMM)Hmgu>
HEPD0549_6_D02_10618	C030046E11Rik	C030046E11Rik<tm1a(EUCOMM)Hmgu>
HEPD0569_7_A08_10619	Serf1	Serf1<tm1a(EUCOMM)Hmgu>
HEPD0554_1_B05_10620	Cd28	Cd28<tm1a(EUCOMM)Hmgu>
HEPD0553_2_C04_10621	Dnase2b	Dnase2b<tm1a(EUCOMM)Hmgu>
EPD0069_1_G06_10622	Brpf1	Brpf1<tm1a(EUCOMM)Wtsi>
HEPD0523_4_G08_10623	Klhdc2	Klhdc2<tm1a(EUCOMM)Hmgu>
EPD0327_5_A04_10624	Acsbg2	Acsbg2<tm1a(EUCOMM)Wtsi>
EPD0037_2_G04_10625	Wbp2	Wbp2<tm2a(EUCOMM)Wtsi>
EPD0326_5_C03_10626	Atp8a1	Atp8a1<tm1a(EUCOMM)Wtsi>
EPD0326_6_C07_10627	Chrna9	Chrna9<tm2a(EUCOMM)Wtsi>
HEPD0633_2_F04 _10628	Prss50	Prss50<tm1a(EUCOMM)Hmgu>
Gsk3a_10629	Gsk3a	Gsk3a<not yet available>
EPD0057_2_C02_10630	Ttll4	Ttll4<tm1a(EUCOMM)Wtsi>
EPD0135_1_A05_10631	Arhgef4	Arhgef4<tm1a(KOMP)Wtsi>
EPD0037_1_B03_10632	Fam134c	Fam134c<tm2a(EUCOMM)Wtsi>
HEPD0508_4_G09_10633	Acap3	Acap3<tm1a(EUCOMM)Hmgu>
HEPD0547_3_H08_10634	Tmod3	Tmod3<tm1a(EUCOMM)Hmgu>
HEPD0538_5_H11_10635	Cd9	Cd9<tm1a(EUCOMM)Hmgu>
Myo7aMyo7a<sh1-6J>_10636	null	Myo7a<sh1-6J>
WhrnWhrn<wi>_10637	null	Whrn<wi>
Git2Git2<Gt(XG510)Byg>_10638	null	Git2<Gt(XG510)Byg>
EPD0038_3_D10_10639	null	
EPD0037_1_F05_10640	null	
EPD0038_2_A04_10641	null	
EPD0028_4_H02_10642	null	
EPD0058_1_A04_10643	null	
EPD0038_2_E01_10644	null	
EPD0039_1_C08_10645	null	
EPD0037_3_D11_10646	null	
EPD0028_1_D08_10647	null	
EPD0058_1_D07_10648	null	
EPD0037_3_G01_10649	null	
EPD0052_2_C05_10650	null	
Atp2b2Atp2b2<Obv>_10651	null	Atp2b2<Obv>
EPD0033_3_D07_10652	null	
Chd7Chd7<Whi>_10653	null	Chd7<Whi>
EPD0028_3_A04_10654	null	
EPD0032_2_H06_10655	null	
EPD0070_4_A04_10656	null	
EPD0058_3_B01_10657	null	
EPD0046_2_F02_10658	null	
EPD0043_2_H10_10659	null	
EPD0059_2_C08_10660	null	
EPD0042_1_G09_10661	null	
EPD0069_4_H07_10662	null	
EPD0070_5_D05_10663	null	
EPD0070_3_B02_10664	null	
EPD0046_1_C10_10665	null	
EPD0070_1_G07_10666	null	
EPD0026_4_C08_10667	null	
EPD0021_4_A12_10668	null	
EPD0065_1_F10_10669	null	
Grxcr1Grxcr1<tde>_10670	null	Grxcr1<tde>
EPD0069_3_E07_10671	null	
EPD0058_3_G07_10672	null	
EPD0070_2_G01_10673	null	
EPD0070_4_E10_10674	null	
EPD0029_1_G04_10675	null	
EPD0085_6_H06_10676	null	
EPD0081_5_C11_10677	null	
EPD0042_1_A01_10678	null	
EPD0081_4_A11_10679	null	
EPD0025_2_F01_10680	null	
EPD0026_1_C12_10681	null	
EPD0064_1_G02_10682	null	
EPD0031_1_H07_10683	null	
EPD0081_6_C05_10684	null	
EPD0080_1_D08_10685	null	
EPD0064_2_A02_10686	null	
EPD0082_2_G11_10687	null	
EPD0041_1_F06_10688	null	Ccdc137<tm1a(KOMP)Wtsi>
EPD0046_2_A08_10689	null	
EPD0033_5_D02_10690	null	
EPD0044_5_B04_10691	null	
EPD0029_4_F01_10692	null	
EPD0085_6_H01_10693	null	
EPD0085_1_D04_10694	null	
EPD0081_6_E02_10695	null	
EPD0083_2_E03_10696	null	
EPD0079_5_E10_10697	null	
EPD0066_2_D10_10698	null	
EPD0080_2_A02_10699	null	
EPD0029_4_E08_10700	null	
EPD0025_4_H04_10701	null	
EPD0079_4_E02_10702	null	
EPD0026_5_G02_10703	null	
Dlg4Dlg4<tm1Grnt>_10704	null	Dlg4<tm1Grnt>
EPD0025_6_A10_10705	null	
EPD0048_1_E02_10706	null	
EPD0025_3_C05_10707	null	
EPD0026_3_E12_10708	null	
EPD0064_2_C12_10709	null	
EPD0033_5_A07_10710	null	
EPD0064_2_D04_10711	null	
EPD0031_1_G01_10712	null	
EPD0064_1_A10_10713	null	
EPD0082_5_A09_10714	null	
EPD0105_5_A09_10715	null	
EPD0084_1_B08_10716	null	
EPD0099_2_E04_10717	null	
EPD0080_1_D11_10718	null	
EPD0097_1_C09_10719	null	
EPD0071_3_H09_10720	null	
EPD0097_2_E01_10721	null	
EPD0113_2_D12_10722	null	
EPD0085_2_F07_10723	null	
EPD0101_4_F09_10724	null	
EPD0109_3_E07_10725	null	
EPD0130_2_B02_10726	null	
Ren1Ren1<Ren-1c Enhancer KO>_10727	null	Ren1<Ren-1c Enhancer KO>
EPD0097_3_B06_10728	null	
EPD0099_3_G04_10729	null	
EPD0126_4_F03_10730	null	
EPD0058_4_E06_10731	null	
EPD0099_5_G10_10732	null	
EPD0126_4_E06_10733	null	
EPD0096_1_A05_10734	null	
EPD0028_7_G05_10735	null	
EPD0099_4_D09_10736	null	
EPD0127_1_A03_10737	null	
EPD0085_1_C10_10738	null	
EPD0096_3_B08_10739	null	
EPD0130_1_D07_10740	null	
EPD0114_2_F08_10741	null	
EPD0090_4_A04_10742	null	
EPD0094_4_B01_10743	null	
EPD0068_1_H05_10744	null	
EPD0097_1_D01_10745	null	
#4_10746	null	ROSA26<Fki>
EPD0071_1_D03_10747	null	
EPD0034_4_C03_10748	null	
EPD0160_3_C06_10749	null	
EPD0183_4_A09_10750	null	
EPD0099_4_B07_10751	null	
EPD0155_1_E11_10752	null	
EPD0051_1_H11_10753	null	
EPD0157_6_C08_10754	null	
EPD0156_5_B09_10755	null	
EPD0064_2_H09_10756	null	
EPD0116_2_E10_10757	null	
EPD0133_4_C12_10758	null	
EPD0183_4_C10_10759	null	
EPD0140_1_C09_10760	null	
EPD0106_3_D09_10761	null	
EPD0051_3_E05_10762	null	
EPD0107_4_E05_10763	null	
EPD0158_4_B04_10764	null	
EPD0114_1_D05_10765	null	
EPD0142_2_E04_10766	null	
EPD0059_1_A09_10767	null	
EPD0116_2_B07_10768	null	
EPD0046_3_B02_10769	null	
EPD0033_4_C09_10770	null	
EPD0143_4_A08_10771	null	
EPD0157_6_B09_10772	null	
EPD0070_4_F09_10773	null	
EPD0091_1_B04_10774	null	
EPD0075_1_B10_10775	null	
EPD0157_2_G07_10776	null	
EPD0037_2_D06_10777	null	
EPD0158_4_G09_10778	null	
EPD0135_3_B03_10779	null	
EPD0031_2_B02_10780	null	
EPD0102_1_D08_10781	null	
EPD0117_1_G06_10782	null	
EPD0181_1_A05_10783	null	
EPD0099_1_B03_10784	null	
EPD0164_3_G07_10785	null	
EPD0089_1_A11_10786	null	
EPD0162_1_G07_10787	null	
Dlg2Dlg2<tm1Dsb>_10788	null	Dlg2<tm1Dsb>
Ifitm3Ifitm3<tm1Masu>_10789	null	Ifitm3<tm1Masu>
(Deluca)<Deluca>_10790	null	(Deluca)<Deluca>
EPD0057_2_F08_10791	null	
EPD0051_3_C10_10792	null	
1_10793	null	Hprt1<Tg(CMV-Cre)Brd>
EPD0033_3_C09_10794	null	
EPD0022_2_D02_10795	null	
EPD0051_3_D07_10796	null	
EPD0200_3_B01_10797	null	
EPD0150_2_B12_10798	null	
EPD0151_3_G04_10799	null	
EPD0167_3_F08_10800	null	
EPD0069_4_C02_10801	null	
EPD0025_3_C07_10802	null	
EPD0226_1_D04_10803	null	
EPD0147_4_F03_10804	null	
EPD0025_5_A08_10805	null	
EPD0110_1_E10_10806	null	
EPD0150_1_D07_10807	null	
EPD0143_3_B04_10808	null	
EPD0086_4_D03_10809	null	
EPD0243_2_A05_10810	null	
EPD0103_1_H06_10811	null	
EPD0164_3_H04_10812	null	
EPD0197_1_C09_10813	null	
EPD0065_4_B10_10814	null	
EPD0028_1_C04_10815	null	
EPD0132_5_C11_10816	null	
EPD0165_3_H07_10817	null	
EPD0058_2_D10_10818	null	
EPD0116_2_G06_10819	null	
EPD0093_2_B04_10820	null	
EPD0125_1_E10_10821	null	
EPD0114_2_D12_10822	null	
EPD0233_5_G07_10823	null	
EPD0200_4_C04_10824	null	
EPD0102_2_A02_10825	null	
EPD0145_4_B09_10826	null	
EPD0112_2_A09_10827	null	
EPD0381_4_F01_10828	null	
EPD0406_1_H11_10829	null	
EPD0025_2_A10_10830	null	
EPD0045_1_D02_10831	null	
EPD0359_4_A06_10832	null	
EPD0079_6_H08_10833	null	
EPD0051_5_C06_10834	null	
EPD0155_3_B07_10835	null	
EPD0113_2_B01_10836	null	
EPD0180_5_B02_10837	null	
EPD0445_4_E01_10838	null	
EPD0136_3_G02_10839	null	
EPD0272_4_C01_10840	null	
EPD0276_1_G04_10841	null	
EPD0169_3_F12_10842	null	
EPD0101_4_E03_10843	null	
EPD0146_2_A03_10844	null	
EPD0553_3_A07_10845	null	
EPD0425_4_A09_10846	null	
EPD0113_3_C11_10847	null	
EPD0155_5_A11_10848	null	
EPD0424_5_A05_10849	null	
EPD0339_5_C12_10850	null	
EPD0046_3_A04_10851	null	
EPD0143_2_E05_10852	null	
EPD0156_3_A07_10853	null	
EPD0146_1_B03_10854	null	
EPD0480_3_A06_10855	null	
EPD0468_4_B11_10856	null	
EPD0156_2_F10_10857	null	
EPD0025_1_A04_10858	null	
EPD0105_5_C02_10859	null	
EPD0300_3_C05_10860	null	
EPD0381_1_A04_10861	null	
EPD0147_2_E01_10862	null	
EPD0177_4_C08_10863	null	
EPD0463_1_A11_10864	null	
EPD0553_2_A09_10865	null	
EPD0296_3_C07_10866	null	
EPD0188_2_A02_10867	null	
EPD0371_6_D10_10868	null	
EPD0164_1_G10_10869	null	
EPD0188_1_C02_10870	null	
EPD0538_1_D06_10871	null	
EPD0525_1_B10_10872	null	
EPD0176_5_C11_10873	null	
EPD0175_1_A02_10874	null	
EPD0413_2_A01_10875	null	
EPD0555_1_E10_10876	null	
EPD0409_6_A03_10877	null	
EPD0076_1_F07_10878	null	
EPD0072_1_B09_10879	null	
EPD0521_3_G01_10880	null	
EPD0098_5_B05_10881	null	
EPD0187_2_A09_10882	null	
Ttll4Ttll4<tm1a(EUCOMM)Wtsi/H>_10883	null	Ttll4<tm1a(EUCOMM)Wtsi/H>
Entpd1Entpd1<tm1a(EUCOMM)Wtsi/Hmgu>_10884	null	Entpd1<tm1a(EUCOMM)Wtsi/Hmgu>
EPD0156_6_F07_10885	null	
EPD0547_5_C04_10886	null	
EPD0552_1_A11_10887	null	
EPD0383_1_D01_10888	null	
EPD0555_2_B11_10889	null	
EPD0452_5_E06_10890	null	
EPD0526_3_A01_10891	null	
EPD0272_2_D07_10892	null	
EPD0495_1_A04_10893	null	
EPD0046_3_B11_10894	null	
EPD0287_1_C05_10895	null	
EPD0033_3_A02_10896	null	
EPD0409_1_A08_10897	null	
EPD0078_2_C07_10898	null	
EPD0147_4_G08_10899	null	
EPD0389_5_A05_10900	null	
EPD0553_3_A01_10901	null	
EPD0211_3_A05_10902	null	
EPD0198_1_F02_10903	null	
EPD0051_2_A09_10904	null	
EPD0091_1_A11_10905	null	
EPD0554_4_A09_10906	null	
EPD0489_1_C06_10907	null	
EPD0079_5_G07_10908	null	
EPD0176_4_A01_10909	null	
EPD0453_4_B09_10910	null	
EPD0157_3_B05_10911	null	
EPD0319_2_E12_10912	null	
Clk1Clk1<tm1a(EUCOMM)Wtsi/Ics>_10913	null	Clk1<tm1a(EUCOMM)Wtsi/Ics>
EPD0027_4_H10_10914	null	
EPD0554_8_A01_10915	null	
EPD0144_3_A09_10916	null	
EPD0176_2_B06_10917	null	
EPD0073_2_C09_10918	null	
NfyaNfya<Gt(EUCJ0004f10)Hmgu>_10919	null	Nfya<Gt(EUCJ0004f10)Hmgu>
EPD0169_4_D02_10920	null	
EPD0117_4_C07_10921	null	
EPD0312_4_B10_10922	null	
EPD0168_1_D04_10923	null	
EPD0343_3_C05_10924	null	
EPD0469_5_C11_10925	null	
EPD0590_1_D02_10926	null	
EPD0050_1_E07_10927	null	
EPD0412_2_C09_10928	null	
EPD0339_4_A04_10929	null	
EPD0168_5_E05_10930	null	
EPD0287_2_B10_10931	null	
EPD0430_2_A02_10932	null	
EPD0409_5_B05_10933	null	
Secisbp2Secisbp2<tm1a(EUCOMM)Wtsi/H>_10934	null	Secisbp2<tm1a(EUCOMM)Wtsi/H>
EPD0454_5_C09_10935	null	
EPD0445_7_A03_10936	null	
EPD0296_2_A10_10937	null	
EPD0392_6_E12_10938	null	
EPD0397_5_B10_10939	null	
EPD0496_2_F10_10940	null	
EPD0091_1_C02_10941	null	
EPD0531_5_A05_10942	null	
EPD0445_4_A07_10943	null	
Rhbdl4-/-_10944	Rhbdl4	NULL
RHBDL5-AG2 _10945	RHBDL5	RHBDL5<not yet available>
EPD0557_2_C07_10946	Gse1	Gse1<tm1a(EUCOMM)Wtsi>
March 7 KO (Cross 2)_10947	MARCH7	MARCH7<not yet available>
EPD0070_1_B02_10948	Prmt1	Prmt1<tm1a(EUCOMM)Wtsi>
EPD0140_2_F02_10949	Sema5b	Sema5b<tm1a(EUCOMM)Wtsi>
EPD0261_6_C12_10950	Pbx3	Pbx3<tm1a(EUCOMM)Wtsi>
EPD0326_6_G01_10951	Hint1	Hint1<tm1a(EUCOMM)Wtsi>
HEPD0634_1_D03_10952	Mmp12	Mmp12<tm1a(EUCOMM)Hmgu>
EPD0327_3_A02_10953	BC055004	BC055004<tm1a(EUCOMM)Wtsi>
HEPD0527_4_B10_10954	Ccdc101	Ccdc101<tm1a(EUCOMM)Hmgu>
EPD0033_3_F04_10955	Kdm4c	Kdm4c<tm1a(KOMP)Wtsi>
EPD0060_1_C04_10956	Nmnat1	Nmnat1<tm1a(EUCOMM)Wtsi>
B6Dnk;129P2-HBP1<Gt(EUCJ0053g09)>/H_10957	MGI:894659	QULAN<not yet available>
EPD0242_4_B03_10958	Setmar	Setmar<tm1a(EUCOMM)Wtsi>
EPD0370_5_D04_10959	Fhl1	Fhl1<tm1a(EUCOMM)Wtsi>
EPD0066_3_H07_10960	Ankrd12	Ankrd12<tm1a(EUCOMM)Wtsi>
EPD0105_5_A07_10961	Thrb	Thrb<tm2a(EUCOMM)Wtsi>
EPD0370_6_H05_10962	Acp2	Acp2<tm1a(EUCOMM)Wtsi>
EPD0282_1_A03_10963	Cd200	Cd200<tm1a(KOMP)Wtsi>
HEPD0636_5_D03_10964	Fam70b	Fam70b<tm1a(EUCOMM)Hmgu>
HEPD0557_4_E10_10965	Elmod1	Elmod1<tm1a(EUCOMM)Hmgu>
EPD0525_1_F01_10966	Asns	Asns<tm1a(EUCOMM)Wtsi>
EPD0135_1_A05_10967	Arhgef4	Arhgef4<tm1a(KOMP)Wtsi>
EPD0065_2_E04_10968	Clk1	Clk1<tm1a(EUCOMM)Wtsi>
HEPD0619_1_B04_10969	Rnf169	Rnf169<tm1a(EUCOMM)Hmgu>
EPD0156_1_B01_10970	Entpd1	Entpd1<tm1a(EUCOMM)Wtsi>
Ifitm1_1F4_10971	Ifitm1	not yet assigned
